date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-05-01,13.4,9,17.6,0,0,219,17.3,40.7,1001.5,249
2020-05-02,10.1,5.4,15.8,1.4,0,242,14.4,46.8,1005.6,444
2020-05-03,10.4,5.9,14.9,0,0,265,12.6,32,1015.8,114
2020-05-04,8.8,2.5,11.7,0.8,0,272,5,19.1,1017.2,25
2020-05-05,6.9,0.7,12,4,0,304,11.9,49.3,1019,585
2020-05-06,11.4,5.5,16.9,0,0,302,15.5,45,1021.7,751
2020-05-07,10.5,6.2,16.7,0,0,282,12.6,31.3,1022,326
2020-05-08,14.3,5.4,21.1,0,0,255,7.6,35.6,1018,855
2020-05-09,16.6,6.6,23.2,0,0,141,6.1,24.8,1014.9,854
2020-05-10,18.1,11.2,24.5,1.8,0,154,9.4,29.5,1006,424
2020-05-11,6.9,-0.4,15.2,8.2,0,326,13.7,40.7,1007.8,26
2020-05-12,6.8,-0.4,11.7,0,0,263,16.9,45,1015.4,429
2020-05-13,10,5.6,14.3,0,0,226,9.7,35.3,1012.7,362
2020-05-14,9.5,2.4,14.7,0,0,191,10.1,36.4,1017.3,422
2020-05-15,9.9,0.7,16.1,0,0,272,11.9,39.6,1019.1,624
2020-05-16,12,6.5,16.7,0.1,0,262,18,46.4,1020.5,506
2020-05-17,13.3,8.4,18.6,0,0,274,15.8,42.1,1020.7,596
2020-05-18,15.7,9.7,22.2,0,0,263,15.1,42.5,1020.5,202
2020-05-19,14.6,8.7,20.1,0,0,288,12.6,39.6,1019.7,158
2020-05-20,15.3,8.1,21,0,0,310,8.3,31,1022.1,666
2020-05-21,15.2,6.5,21.2,0,0,87,7.9,25.9,1023.9,854
2020-05-22,17.8,10.7,22.8,2.3,0,132,13.3,38.2,1021.1,401
2020-05-23,15.1,7.7,20.1,0.1,0,219,15.1,45.7,1019.6,60
2020-05-24,12.4,8,17.8,4.5,0,264,16.6,64.1,1023.7,295
2020-05-25,12,9.9,14.4,0.1,0,296,14,38.9,1028,24
2020-05-26,14.7,5.3,21.1,0,0,135,8.6,31.3,1034,753
2020-05-27,16.2,6.5,22.5,0.4,0,269,8.3,37.1,1031.7,615
2020-05-28,15.2,9.9,20.5,0,0,190,14,39.6,1029.6,562
2020-05-29,15.2,8.5,20.5,0,0,64,9.7,33.5,1028.6,565
2020-05-30,13.8,8.7,18.3,0,0,23,13.7,42.5,1024.6,491
2020-05-31,15.5,9,22.9,0,0,171,14,42.5,1022,569